tasks,dimensions,y_label,bootstrap method,roc_auc,p_value_roc_auc,accuracy,p_value_accuracy,f1,p_value_f1,recall,p_value_recall,precision,p_value_precision,norm_expected_cost,p_value_norm_expected_cost,norm_cross_entropy,p_value_norm_cross_entropy
"[Animales__P, P]","[properties, properties]",target,bca,"0.176, (0.085, 0.265)",0.0,"0.139, (0.056, 0.206)",0.001,"0.136, (0.034, 0.209)",0.003,"0.127, (-0.012, 0.230)",0.025,"0.144, (0.067, 0.232)",0.0,"-0.279, (-0.426, -0.083)",0.001,"-0.463, (-0.741, -0.118)",0.002
"[Animales__P, P]","[properties, properties__timing]",target,bca,"0.184, (0.096, 0.275)",0.001,"0.117, (0.033, 0.202)",0.009,"0.119, (0.027, 0.213)",0.015,"0.121, (-0.014, 0.251)",0.04,"0.116, (0.030, 0.224)",0.009,"-0.233, (-0.406, -0.006)",0.009,"-0.359, (-0.607, 0.036)",0.02
"[Animales__P, P]","[properties, timing]",target,bca,"0.195, (0.063, 0.335)",0.004,"0.180, (0.059, 0.297)",0.003,"0.189, (0.065, 0.320)",0.003,"0.200, (0.030, 0.351)",0.016,"0.178, (0.044, 0.315)",0.01,"-0.361, (-0.611, -0.055)",0.003,"-0.218, (-0.538, 0.184)",0.102
"[Animales__P, Animales__P]","[properties__timing, timing]",target,bca,"0.108, (0.019, 0.196)",0.012,"0.083, (0.003, 0.156)",0.02,"0.082, (-0.019, 0.173)",0.048,"0.079, (-0.074, 0.206)",0.139,"0.086, (0.020, 0.165)",0.01,"-0.167, (-0.322, 0.040)",0.02,"-0.167, (-0.403, 0.115)",0.103
"[Animales__P, brain]","[properties__timing, norm_brain_lit]",target,bca,"-0.113, (-0.237, 0.006)",0.044,"-0.111, (-0.225, 0.002)",0.037,"-0.113, (-0.235, 0.004)",0.035,"-0.121, (-0.276, 0.050)",0.078,"-0.106, (-0.239, 0.017)",0.066,"0.221, (-0.082, 0.461)",0.036,"0.337, (-0.108, 0.772)",0.077
"[Animales__P, connectivity]","[properties__timing, networks]",target,bca,"0.140, (-0.008, 0.286)",0.033,"0.124, (-0.007, 0.233)",0.024,"0.133, (-0.008, 0.259)",0.021,"0.142, (-0.049, 0.297)",0.04,"0.123, (-0.017, 0.250)",0.036,"-0.248, (-0.483, 0.061)",0.024,"-0.064, (-0.396, 0.351)",0.326
"[Animales__P, nps]","[properties__timing, executive]",target,bca,"-0.005, (-0.127, 0.111)",0.467,"-0.041, (-0.147, 0.064)",0.237,"-0.033, (-0.140, 0.071)",0.275,"-0.009, (-0.125, 0.107)",0.442,"-0.060, (-0.198, 0.094)",0.225,"0.082, (-0.163, 0.309)",0.237,"0.118, (-0.157, 0.462)",0.235
"[Animales__P, nps]","[properties__timing, executive__mmse]",target,bca,"-0.146, (-0.252, -0.069)",0.0,"-0.138, (-0.231, -0.058)",0.0,"-0.140, (-0.241, -0.062)",0.0,"-0.145, (-0.267, -0.046)",0.004,"-0.135, (-0.250, -0.021)",0.013,"0.276, (0.053, 0.457)",0.0,"0.445, (0.128, 0.800)",0.004
"[Animales__P, nps]","[properties__timing, mmse]",target,bca,"-0.151, (-0.247, -0.068)",0.0,"-0.119, (-0.204, -0.026)",0.005,"-0.113, (-0.230, 0.008)",0.03,"-0.030, (-0.180, 0.115)",0.359,"-0.234, (-0.384, -0.117)",0.0,"0.252, (0.016, 0.457)",0.005,"0.428, (0.151, 0.762)",0.002
"[Animales__P, P]","[properties__timing, properties]",target,bca,"0.118, (0.018, 0.212)",0.011,"0.086, (-0.002, 0.158)",0.024,"0.081, (-0.013, 0.161)",0.034,"0.070, (-0.062, 0.181)",0.128,"0.092, (0.012, 0.179)",0.015,"-0.173, (-0.330, 0.023)",0.024,"-0.293, (-0.618, 0.044)",0.042
"[Animales__P, P]","[properties__timing, properties__timing]",target,bca,"0.126, (0.036, 0.207)",0.007,"0.064, (-0.014, 0.144)",0.06,"0.064, (-0.019, 0.163)",0.083,"0.064, (-0.059, 0.186)",0.168,"0.065, (-0.016, 0.157)",0.07,"-0.127, (-0.294, 0.068)",0.06,"-0.188, (-0.432, 0.167)",0.103
"[Animales__P, P]","[properties__timing, timing]",target,bca,"0.137, (0.008, 0.262)",0.024,"0.127, (0.013, 0.224)",0.014,"0.135, (0.017, 0.244)",0.017,"0.142, (-0.021, 0.276)",0.036,"0.127, (0.003, 0.243)",0.021,"-0.255, (-0.466, 0.016)",0.014,"-0.048, (-0.337, 0.331)",0.349
"[Animales__P, brain]","[timing, norm_brain_lit]",target,bca,"-0.221, (-0.335, -0.101)",0.0,"-0.194, (-0.302, -0.089)",0.001,"-0.196, (-0.314, -0.080)",0.002,"-0.200, (-0.340, -0.041)",0.01,"-0.192, (-0.329, -0.078)",0.003,"0.388, (0.110, 0.612)",0.001,"0.504, (0.091, 0.821)",0.008
"[Animales__P, connectivity]","[timing, networks]",target,bca,"0.032, (-0.131, 0.187)",0.314,"0.041, (-0.106, 0.161)",0.231,"0.051, (-0.116, 0.176)",0.207,"0.064, (-0.159, 0.236)",0.234,"0.037, (-0.114, 0.168)",0.275,"-0.082, (-0.339, 0.258)",0.232,"0.102, (-0.215, 0.451)",0.29
"[Animales__P, nps]","[timing, executive]",target,bca,"-0.114, (-0.219, -0.004)",0.027,"-0.124, (-0.225, -0.015)",0.014,"-0.116, (-0.220, -0.005)",0.021,"-0.088, (-0.222, 0.048)",0.1,"-0.146, (-0.280, -0.009)",0.02,"0.248, (-0.024, 0.460)",0.014,"0.285, (0.057, 0.554)",0.016
